#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2NI,,,
#Serial Number: SN:210321A291F6,,,
#Date Time: 2018-03-07 17:21:18.548,,,
#Sample rate: 20000Hz,,,
#Samples: 256,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 500 mV/div Offset: 0 V,,,
#Channel 2: Range: 500 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Current (A)
0.127206897,-1.138566586,-0.001022431,-1.02243E-06
0.127256897,-1.118168816,-0.001022431,-1.02243E-06
0.127306897,-1.098439825,-0.001022431,-1.02243E-06
0.127356897,-1.079045223,-0.001022431,-1.02243E-06
0.127406897,-1.058647453,-0.001022431,-1.02243E-06
0.127456897,-1.038918462,-0.001357058,-1.35706E-06
0.127506897,-1.018186302,-0.001022431,-1.02243E-06
0.127556897,-0.998457311,-0.001022431,-1.02243E-06
0.127606897,-0.97839393,-0.001022431,-1.02243E-06
0.127656897,-0.958664939,-0.001022431,-1.02243E-06
0.127706897,-0.938601559,-0.001022431,-1.02243E-06
0.127756897,-0.918203788,-0.001022431,-1.02243E-06
0.127806897,-0.898140408,-0.001022431,-1.02243E-06
0.127856897,-0.878077027,-0.001022431,-1.02243E-06
0.127906897,-0.858013646,-0.001022431,-1.02243E-06
0.127956897,-0.838284655,-0.001022431,-1.02243E-06
0.128006897,-0.817886885,-0.001022431,-1.02243E-06
0.128056897,-0.797823504,-0.001022431,-1.02243E-06
0.128106897,-0.778094513,-0.001022431,-1.02243E-06
0.128156897,-0.758031133,-0.001022431,-1.02243E-06
0.128206897,-0.737967752,-0.001022431,-1.02243E-06
0.128256897,-0.717904371,-0.001022431,-1.02243E-06
0.128306897,-0.697840991,-0.001022431,-1.02243E-06
0.128356897,-0.678446389,-0.001022431,-1.02243E-06
0.128406897,-0.658383009,-0.001022431,-1.02243E-06
0.128456897,-0.638319628,-0.001022431,-1.02243E-06
0.128506897,-0.617921858,-0.001022431,-1.02243E-06
0.128556897,-0.598192867,-0.001022431,-1.02243E-06
0.128606897,-0.577795096,-0.001022431,-1.02243E-06
0.128656897,-0.558400495,-0.001022431,-1.02243E-06
0.128706897,-0.538002725,-0.001022431,-1.02243E-06
0.128756897,-0.517604954,-0.001022431,-1.02243E-06
0.128806897,-0.497875963,-0.001022431,-1.02243E-06
0.128856897,-0.477812583,-0.001022431,-1.02243E-06
0.128906897,-0.457414812,-0.001022431,-1.02243E-06
0.128956897,-0.437685821,-0.001022431,-1.02243E-06
0.129006897,-0.41795683,-0.001022431,-1.02243E-06
0.129056897,-0.39755906,-0.001022431,-1.02243E-06
0.129106897,-0.377495679,-0.001022431,-1.02243E-06
0.129156897,-0.357766688,-0.001022431,-1.02243E-06
0.129206897,-0.337703308,-0.001022431,-1.02243E-06
0.129256897,-0.317639927,-0.001022431,-1.02243E-06
0.129306897,-0.297576546,-0.001022431,-1.02243E-06
0.129356897,-0.277513166,-0.001022431,-1.02243E-06
0.129406897,-0.257449785,-0.001022431,-1.02243E-06
0.129456897,-0.237386404,-0.001022431,-1.02243E-06
0.129506897,-0.217323024,-0.001022431,-1.02243E-06
0.129556897,-0.197594033,-0.001357058,-1.35706E-06
0.129606897,-0.177196262,-0.001357058,-1.35706E-06
0.129656897,-0.157132882,-0.001022431,-1.02243E-06
0.129706897,-0.137069501,-0.001357058,-1.35706E-06
0.129756897,-0.11700612,-0.001022431,-1.02243E-06
0.129806897,-0.09694274,-0.001022431,-1.02243E-06
0.129856897,-0.077213749,-0.001022431,-1.02243E-06
0.129906897,-0.056815978,-0.001357058,-1.35706E-06
0.129956897,-0.036752598,-0.001022431,-1.02243E-06
0.130006897,-0.016689217,-0.001357058,-1.35706E-06
0.130056897,0.002705384,-0.001022431,-1.02243E-06
0.130106897,0.022768765,-0.001022431,-1.02243E-06
0.130156897,0.042832146,-0.001022431,-1.02243E-06
0.130206897,0.062895526,-0.001022431,-1.02243E-06
0.130256897,0.082958907,-0.001357058,-1.35706E-06
0.130306897,0.103022288,-0.001022431,-1.02243E-06
0.130356897,0.122751279,-0.001022431,-1.02243E-06
0.130406897,0.143149049,-0.001022431,-1.02243E-06
0.130456897,0.16287804,-0.001022431,-1.02243E-06
0.130506897,0.182941421,-0.001022431,-1.02243E-06
0.130556897,0.203339191,-0.000687804,-6.87804E-07
0.130606897,0.223402572,-0.000687804,-6.87804E-07
0.130656897,0.243465953,-0.000353178,-3.53178E-07
0.130706897,0.263529333,-0.000353178,-3.53178E-07
0.130756897,0.283258324,-1.86E-05,-1.85512E-08
0.130806897,0.303656095,0.000650702,6.50702E-07
0.130856897,0.323719475,0.001319955,1.31996E-06
0.130906897,0.343448466,0.002658462,2.65846E-06
0.130956897,0.363511847,0.003996968,3.99697E-06
0.131006897,0.383240838,0.006339355,6.33935E-06
0.131056897,0.403638608,0.009016368,9.01637E-06
0.131106897,0.423701989,0.013031887,1.30319E-05
0.131156897,0.44343098,0.018051287,1.80513E-05
0.131206897,0.463494361,0.024409192,2.44092E-05
0.131256897,0.483892131,0.032105605,3.21056E-05
0.131306897,0.503621122,0.040805897,4.08059E-05
0.131356897,0.523684503,0.050510069,5.05101E-05
0.131406897,0.543747883,0.061552748,6.15527E-05
0.131456897,0.563811264,0.07326468,7.32647E-05
0.131506897,0.583874645,0.085980491,8.59805E-05
0.131556897,0.603603636,0.099365556,9.93656E-05
0.131606897,0.623667016,0.113085248,0.000113085
0.131656897,0.643396007,0.127808819,0.000127809
0.131706897,0.663793778,0.142532391,0.000142532
0.131756897,0.683857158,0.157925216,0.000157925
0.131806897,0.703920539,0.173652667,0.000173653
0.131856897,0.72364953,0.189380118,0.00018938
0.131906897,0.743712911,0.205776823,0.000205777
0.131956897,0.763776291,0.222508154,0.000222508
0.132006897,0.783505282,0.238904859,0.000238905
0.132056897,0.803568663,0.255970817,0.000255971
0.132106897,0.823632044,0.273036775,0.000273037
0.132156897,0.844029814,0.290437359,0.000290437
0.132206897,0.863758805,0.307503317,0.000307503
0.132256897,0.883822186,0.324903901,0.000324904
0.132306897,0.903551177,0.342304486,0.000342304
0.132356897,0.923614557,0.360374324,0.000360374
0.132406897,0.943677938,0.378109535,0.00037811
0.132456897,0.963406929,0.395844746,0.000395845
0.132506897,0.98347031,0.413579957,0.00041358
0.132556897,1.003199301,0.431649795,0.00043165
0.132606897,1.023262681,0.449719632,0.00044972
0.132656897,1.043326062,0.468124097,0.000468124
0.132706897,1.063389443,0.486193935,0.000486194
0.132756897,1.083118434,0.504598399,0.000504598
0.132806897,1.102847425,0.522668237,0.000522668
0.132856897,1.122910805,0.540738074,0.000540738
0.132906897,1.142974186,0.559477165,0.000559477
0.132956897,1.162703177,0.577547003,0.000577547
0.133006897,1.182432168,0.596286094,0.000596286
0.133056897,1.202829938,0.615025185,0.000615025
0.133106897,1.222893319,0.633764276,0.000633764
0.133156897,1.2429567,0.652503367,0.000652503
0.133206897,1.262685691,0.671242458,0.000671242
0.133256897,1.282749071,0.689981549,0.000689982
0.133306897,1.303146842,0.70872064,0.000708721
0.133356897,1.322541443,0.727125104,0.000727125
0.133406897,1.342604824,0.745864195,0.000745864
0.133456897,1.362668204,0.764937913,0.000764938
0.133506897,1.382397195,0.783677004,0.000783677
0.133556897,1.402460576,0.802750722,0.000802751
0.133606897,1.422523957,0.821489813,0.00082149
0.133656897,1.442587337,0.84056353,0.000840564
0.133706897,1.462650718,0.859637248,0.000859637
0.133756897,1.482379709,0.878376339,0.000878376
0.133806897,1.50244309,0.89711543,0.000897115
0.133856897,1.52250647,0.916189147,0.000916189
0.133906897,1.542235461,0.935262865,0.000935263
0.133956897,1.562298842,0.954336583,0.000954337
0.134006897,1.582362223,0.9734103,0.00097341
0.134056897,1.602425603,0.992484018,0.000992484
0.134106897,1.622154594,1.011557735,0.001011558
0.134156897,1.642552365,1.030631453,0.001030631
0.134206897,1.662615745,1.050039797,0.00105004
0.134256897,1.682344736,1.069113515,0.001069114
0.134306897,1.702408117,1.088187233,0.001088187
0.134356897,1.722471498,1.10726095,0.001107261
0.134406897,1.742534878,1.126334668,0.001126335
0.134456897,1.762598259,1.145743012,0.001145743
0.134506897,1.78232725,1.16481673,0.001164817
0.134556897,1.802056241,1.183890447,0.00118389
0.134606897,1.822454011,1.203298791,0.001203299
0.134656897,1.842517392,1.222372509,0.001222373
0.134706897,1.862246383,1.241446227,0.001241446
0.134756897,1.882309764,1.260519944,0.00126052
0.134806897,1.902707534,1.279928289,0.001279928
0.134856897,1.922770915,1.299336633,0.001299337
0.134906897,1.942834295,1.319079604,0.00131908
0.134956897,1.962897676,1.338153321,0.001338153
0.135006897,1.982961057,1.357227039,0.001357227
0.135056897,-1.457239949,0.186368479,0.000186368
0.135106897,-1.978887846,-0.000687804,-6.87804E-07
0.135156897,-1.958824466,-0.000687804,-6.87804E-07
0.135206897,-1.939429864,-0.000687804,-6.87804E-07
0.135256897,-1.919366484,-0.001022431,-1.02243E-06
0.135306897,-1.899303103,-0.001022431,-1.02243E-06
0.135356897,-1.879239722,-0.001022431,-1.02243E-06
0.135406897,-1.858841952,-0.001022431,-1.02243E-06
0.135456897,-1.838778571,-0.001022431,-1.02243E-06
0.135506897,-1.81904958,-0.001022431,-1.02243E-06
0.135556897,-1.7989862,-0.001022431,-1.02243E-06
0.135606897,-1.778922819,-0.001022431,-1.02243E-06
0.135656897,-1.759193828,-0.001022431,-1.02243E-06
0.135706897,-1.739130447,-0.001022431,-1.02243E-06
0.135756897,-1.719067067,-0.001022431,-1.02243E-06
0.135806897,-1.699003686,-0.001022431,-1.02243E-06
0.135856897,-1.678940305,-0.001022431,-1.02243E-06
0.135906897,-1.658876925,-0.001022431,-1.02243E-06
0.135956897,-1.639147934,-0.001022431,-1.02243E-06
0.136006897,-1.619084553,-0.001022431,-1.02243E-06
0.136056897,-1.599021172,-0.001022431,-1.02243E-06
0.136106897,-1.578957792,-0.001022431,-1.02243E-06
0.136156897,-1.558894411,-0.001022431,-1.02243E-06
0.136206897,-1.53916542,-0.001022431,-1.02243E-06
0.136256897,-1.519102039,-0.001022431,-1.02243E-06
0.136306897,-1.498704269,-0.001022431,-1.02243E-06
0.136356897,-1.478640888,-0.001022431,-1.02243E-06
0.136406897,-1.458911897,-0.001022431,-1.02243E-06
0.136456897,-1.438848517,-0.001022431,-1.02243E-06
0.136506897,-1.419119526,-0.001357058,-1.35706E-06
0.136556897,-1.399056145,-0.001022431,-1.02243E-06
0.136606897,-1.378658375,-0.001022431,-1.02243E-06
0.136656897,-1.358929384,-0.001022431,-1.02243E-06
0.136706897,-1.338866003,-0.001022431,-1.02243E-06
0.136756897,-1.318802622,-0.001022431,-1.02243E-06
0.136806897,-1.299073631,-0.001022431,-1.02243E-06
0.136856897,-1.279010251,-0.001022431,-1.02243E-06
0.136906897,-1.25894687,-0.001022431,-1.02243E-06
0.136956897,-1.238883489,-0.001022431,-1.02243E-06
0.137006897,-1.218820109,-0.001022431,-1.02243E-06
0.137056897,-1.198756728,-0.001022431,-1.02243E-06
0.137106897,-1.178693347,-0.001022431,-1.02243E-06
0.137156897,-1.158295577,-0.001022431,-1.02243E-06
0.137206897,-1.138566586,-0.001022431,-1.02243E-06
0.137256897,-1.118837595,-0.001022431,-1.02243E-06
